Article Title,Authors,Article URL,Author Information
482: EVALUATION OF SPEECH AND SWALLOW FUNCTION IN POST-ICU CLINIC PATIENTS,"Mahmood, Syed1; Feng, Xin2; McCullough, Gary3; Bode, Allison2; Files, Daniel4; Kenes, Michael4; Bookstaver, Rebecca4; Bakhru, Rita4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/482__evaluation_of_speech_and_swallow_function_in.446.aspx,"1Wake Forest Baptist Medical Center, Winston-Salem, NC
2Wake Forest University School of Medicine, Winston-Salem, NC
3Appalachian State University, Boone, NC
4Wake Forest Baptist Medical Center, Winston Salem, NC"
483: HEMOSUCCUS PANCREATICUS: A RARE CAUSE OF GASTROINTESTINAL BLEEDING,"Czajkowski, Eric1; Chinni, Sushma2; Anand, Neesha3; Almouradi, Tarek2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/483__hemosuccus_pancreaticus__a_rare_cause_of.447.aspx,"1Lake In The Hills, IL
2Advocate Christ Medical Center, Oak Lawn, IL
3University of Illinois College of Medicine At Chicago, Chicago, IL"
484: A CASE OF ACETAMINOPHEN INJECTION-INDUCED ACUTE LIVER FAILURE (COMA TYPE),"Katsuki, Shino1; Miyamoto, Kazuyuki1; Inoue, Kazuaki1; Inoue, Gen1; Takayasu, Hiromi1; Fukuda, Kenichiro2; Ohno, Takanori1; Sasaki, Jun1; Dohi, Kenji3; Hayashi, Munetaka1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/484__a_case_of_acetaminophen_injection_induced.448.aspx,"1Showa University Fujigaoka Hospital, Yokohama, Japan
2Showa University School of Medicine, Tokyo, Japan
3Showa University, Tokyo, Japan"
485: WERNICKE ENCEPHALOPATHY SECONDARY TO HYPEREMESIS GRAVIDARUM DURING INTRAVENOUS THIAMINE SHORTAGE,"McIntyre, Mary1,,2; Bingham, Angela1,,2; Delic, Justin1,,2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/485__wernicke_encephalopathy_secondary_to.449.aspx,"1Philadelphia College of Pharmacy, Philadelphia, PA
2Cooper University Hospital, Camden, NJ"
486: GLIM-DIRECTED MALNUTRITION PREDICTS MORBIDITY AND MORTALITY AFTER EMERGENT GASTROINTESTINAL SURGERY,"Lao, William1; Haines, Krista1; Anderson, David1; Gallagher, Scott1; Agarwal, Suresh1; Wischmeyer, Paul2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/486__glim_directed_malnutrition_predicts_morbidity.450.aspx,"1Duke University, Durham, NC
2Duke University School of Medicine, Durham, NC"
487: AN EVALUATION OF THE EFFECT OF AGE AND INCOME ON READMISSIONS IN PATIENTS WITH ACUTE PANCREATITIS,"Schorr, Christa1; Gaughan, John2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/487__an_evaluation_of_the_effect_of_age_and_income.451.aspx,"1Cooper Hospital University Medical Center, Camden, NJ
2Cooper Medical School of Rowan University, Camden, NJ"
488: EFFECTS OF A FASTING PROTOCOL FOR SURGICAL INTENSIVE CARE UNIT PATIENTS PRIOR TO GENERAL ANESTHESIA,"Barrick, Christy1; Kutcher, Matthew1; Palokas, Michelle2; Spicer, Beverly2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/488__effects_of_a_fasting_protocol_for_surgical.452.aspx,"1Jackson, MS
2University of Mississippi Medical Center, Jackson, MS"
489: INDIRECT CALORIMETRY: A MORE SUITABLE NUTRITIONAL ASSESSMENT TOOL IN SEVERE TRAUMATIC BRAIN INJURY,"Wu, Sonia1; Iqbal, Sameena2; Alam, Norine2; Razek, Tarek3; Deckelbaum, Dan2; Grushka, Jeremy2; Marcoux, Judith2; Giroux, Melanie4; Khwaja, Kosar2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/489__indirect_calorimetry__a_more_suitable.453.aspx,"1McGill University, Faculty of Medicine, Montreal, QC, Canada
2McGill University Health Center (MUHC), Montreal, Quebec
3Montreal University Health Center (MUHC), Montreal, Quebec
4Mcgill University Health Center (MUHC), Montreal, Quebec"
490: ESTIMATED VERSUS MEASURED ENERGY EXPENDITURE IN VENTILATED SURGICAL/TRAUMA ICU PATIENTS,"Kamel, Amir1; Robayo, Laura2; Liang, Debbie3; Rosenthal, Martin2; Voils, Stacy2; Efron, Philip2; Ghita, Gabriella2; Brumback, Babette2; Moore, Frederick2; Brakenridge, Scott2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/490__estimated_versus_measured_energy_expenditure.454.aspx,"1University of Florida Health, Gainesville, FL
2University of Florida, Gainesville, FL
3UNC REX Healthcare, Raleigh, NC"
491: PREHOSPITAL CALORIC DEFICITS IN SURGICAL PATIENTS,"Sadeghi, John1; Cal, Matthew2; Sugiyama, Gainosuke3; Patel, Vihas4; Coppa, Gene4; Barrera, Rafael5
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/491__prehospital_caloric_deficits_in_surgical.455.aspx,"1Manhasset, NY
2Long Island Jewish Medical Center, Manhasset, NY
3Long Island Jewish Medical Center, Queens, NY
4Long Island Jewish Medical Center, New Hyde Park, NY
5Long Island Jewish Medical Ctr, New York, NY"
