Article Title,Authors,Article URL,Author Information
1285: INTENSIVIST-LED PERIOPERATIVE CARE COORDINATION RESULTS IN DECREASED LENGTH OF STAY,"Dhillon, Anahat1; Gudzenko, Vadim1; Ortiz, Christopher2; Seif, Joseph3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1285__intensivist_led_perioperative_care.1241.aspx,"1Los Angeles, CA
2UCLA Department of Anesthesiology, Los Angeles, CA
3UCLA David Geffen School of Medicine/UCLA Medical Center Program, Los Angeles, CA"
1286: PHARMACOECONOMIC IMPACT OF SUGAMMADEX ADDITION TO A HOSPITAL FORMULARY,"Blair, Mary1; Walroth, Todd2; Wickesberg, Christopher3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1286__pharmacoeconomic_impact_of_sugammadex.1242.aspx,"1Indianapolis, IN
2Eskenazi Health, Indianapolis, IN
3N/A"
1287: A RETROSPECTIVE COHORT STUDY OF LAB USAGE IN THE ICU: DO WE NEED TO LEARN TO ASK FEWER QUESTIONS?,"Barros, Andrew1; Kadl, Alexandra1; Enfield, Kyle1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1287__a_retrospective_cohort_study_of_lab_usage_in.1243.aspx,"1University of Virginia, Charlottesville, VA"
1288: EVALUATION OF PROTHROMBIN COMPLEX CONCENTRATE USE AND ASSOCIATED COSTS AT AN ACADEMIC MEDICAL CENTER,"Desai, Payal1; Diaz, Frank2; Shah, Kunal2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1288__evaluation_of_prothrombin_complex.1244.aspx,"1University of Cincinnati Medical Center, Cincinnati, OH
2Morristown Medical Center, Morristown, NJ"
1289: REDUCTION IN ICU O/E MORTALITY BY USING A CENTRALIZED INTERPROFESSIONAL VIRTUAL ICU TEAM MODEL,"Tremper, Jordan1; Adzhigirey, Lana1; Kahlstrom, Richard1; Prudden, George1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1289__reduction_in_icu_o_e_mortality_by_using_a.1245.aspx,"1CHI Franciscan, Tacoma, WA"
1290: SOCIAL DETERMINANTS OF HEALTH AND ICU READMISSION,"Nahass, Thomas1; Hussain, Sabiha2; Surendran, Romala3; Schaer, Daniel1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1290__social_determinants_of_health_and_icu.1246.aspx,"1Rutgers Robert Wood Johnson Medical School, New Brunswick, NJ
2New Brunswick, NJ
3New Brunswick, NJ"
1291: FEASIBILITY OF THE RICHARDS-CAMPBELL SLEEP QUESTIONNAIRE IN MEDICAL-SURGICAL CRITICALLY ILL PATIENTS,"Bouajram, Rima1; Soares, Alisha2; Shah, Madiha2; Quach, Bianca2; Gundersen, Elisabeth2; Barchas, Denise3; Soudant, Tara2; Lane, Rondall4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1291__feasibility_of_the_richards_campbell_sleep.1247.aspx,"1Escondido, CA
2University of California, San Francisco Medical Center, San Francisco, CA
3San Francisco, CA
4University of California, San Francisco, San Francisco, CA"
1292: A NURSE-INITIATED PROTOCOL FOR SPONTANEOUS BREATHING TRIALS IN THE ADULT VENTILATED PATIENT,"Starnes, Elizabeth1; Kutcher, Matthew2; Palokas, Michelle3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1292__a_nurse_initiated_protocol_for_spontaneous.1248.aspx,"1N/A
2Jackson, MS
3University of Mississippi Medical Center, Jackson, MS"
1293: PREDICTING DETERIORATION OF INPATIENTS BY VECTOR OF SEVERITY SCORES AT THREE EIGHT-HOUR INTERVALS,"Higgins, Thomas1; Freeseman-Freeman, Laura2; Henson, Kathy2; Stark, Maureen3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1293__predicting_deterioration_of_inpatients_by.1249.aspx,"1The Center for Case Management, Natick, MA
2Cerner Corporation, Kansas City, MO
3Cerner Corporation, Bel-Air, MD"
1294: JULY EFFECT ON MORTALITY AND COMPLICATIONS IN PATIENTS WITH ACUTE RESPIRATORY DISTRESS SYNDROME,"Olanipekun, Titilope1; Chris-Olaiya, Abimbola2; Esperti, Shawn2; Nambudiri, Vinod2; Duff, Richard3; Westney, Gloria1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1294__july_effect_on_mortality_and_complications.1250.aspx,"1Morehouse School of Medicine, Atlanta, GA
2Grand Strand Medical Center, Myrtle Beach, SC
3Grand Strand Regional Medical Center, Myrtle Beach, SC"
