Article Title,Authors,Article URL,Author Information
859: EVALUATION OF PIPERACILLIN-TAZOBACTAM CONTINUOUS-INFUSION CLEARANCE IN BURN PATIENTS,"Bertolaccini, Corinne1; Prazak, Ann Marie2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/859__evaluation_of_piperacillin_tazobactam.820.aspx,"1University of Utah Health, Salt Lake City, UT
2Salt Lake City, UT"
860: EVALUATION OF THE USE OF THROMBOLYTIC THERAPY FOR FROSTBITE MANAGEMENT AT A REGIONAL BURN CENTER,"Prazak, Ann Marie1; Anyan, Walter1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/860__evaluation_of_the_use_of_thrombolytic_therapy.821.aspx,"1University of Utah Health Burn Center, Salt Lake City, UT"
861: A SURVEY OF CRITICAL CARE PHARMACY SERVICES ACROSS THE UNITED STATES,"MacLaren, Robert1; Roberts, Russel2; Dzierba, Amy3; Buckley, Mitchell4; Lat, Ishaq5; Lam, Simon6
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/861__a_survey_of_critical_care_pharmacy_services.822.aspx,"1Aurora, CO
2Massachusetts General Hospital, Boston, MA
3New York-Presbyterian Hospital, New York, NY
4Banner - University Medical Center Phoenix, Phoenix, AZ
5Shirley Ryan Ability Lab, Chicago, IL
6Cleveland Clinic, Cleveland, OH"
"862: LOWER RESPIRATORY TRACT DELIVERY, AIRWAY CLEARANCE, AND PRECLINICAL EFFICACY OF INHALED GM-CSF","Halstead, E. Scott1; Umstead, Todd2; Mathewson, Margaret3; Chroneos, Zissis2
Author Information","https://journals.lww.com/ccmjournal/citation/2020/01001/862__lower_respiratory_tract_delivery,_airway.823.aspx","1Hershey, PA
2Penn State University, Hershey, PA
3Penn State Health Children’s Hospital, Hershey, PA"
863: INCIDENCE OF SYSTEMIC INFLAMMATORY RESPONSE SYNDROME DURING WEANING OF DEXMEDETOMIDINE IN INFANTS,"Rush, Kimberly1,,2; Spaeder, Michael3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/863__incidence_of_systemic_inflammatory_response.824.aspx,"1Fellow, Charlottesville, VA
2University of Virginia, Charlottesville, VA
3Charlottesville, VA"
864: ASYSTOLE IN TWO PEDIATRIC PATIENTS DURING DEXMEDETOMIDINE INFUSION,"Sehgal, Ila1,,2; Lichtsinn, Katrin1,,2; Wilson, Alexandra2,,3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/864__asystole_in_two_pediatric_patients_during.825.aspx,"1N/A
2Dell Medical School, Austin, TX
3Austin, TX"
865: THE EFFECT OF CONTINUOUS DEXMEDETOMIDINE INFUSIONS ON ADRENAL FUNCTION IN CRITICALLY ILL CHILDREN,"Kavanagh, Robert1; Thomas, Neal1; Zuppa, Athena2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/865__the_effect_of_continuous_dexmedetomidine.826.aspx,"1Penn State College of Medicine, Hershey, PA
2Children’s Hospital of Philadelphia, Philadelphia, PA"
866: PROBIOTIC USE IN CRITICALLY ILL ADULTS WITH CENTRAL VENOUS ACCESS,"Latham, Meagan1; Krogstad, Elizabeth2; Borries, Megan3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/866__probiotic_use_in_critically_ill_adults_with.827.aspx,"1Saint John, IN
2N/A
3Franciscan Health, Indianapolis, IN"
867: PROPHYLACTIC VALGANCICLOVIR DOSING IN TRANSPLANT PATIENTS ON CONTINUOUS VENOVENOUS HEMODIALYSIS,"Jarrell, Andrew1; Crow, Jessica1; Strout, Sara1; Kruer, Rachel2; Toman, Lindsey1; Dioverti-Prono, Maria3; Lees, Laura1; Avery, Robin3; Marzinke, Mark3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/867__prophylactic_valganciclovir_dosing_in.828.aspx,"1The Johns Hopkins Hospital, Baltimore, MD
2Indiana University Health, Indianapolis, IN
3Johns Hopkins University School of Medicine, Baltimore, MD"
868: AMINOGLYCOSIDE DOSING AND VOLUME OF DISTRIBUTION IN CRITICALLY ILL SURGERY PATIENTS,"Grucz, Traci1; Kruer, Rachel2; Bernice, Fidelia1; Lipsett, Pamela3; Dorman, Todd3; Sugrue, David1; Jarrell, Andrew1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/868__aminoglycoside_dosing_and_volume_of.829.aspx,"1The Johns Hopkins Hospital, Baltimore, MD
2Indiana University Health, Indianapolis, IN
3Johns Hopkins University, Baltimore, MD"
869: VANCOMYCIN TROUGHS CAN PREDICT AUC/MIC RATIOS OF 400-600 IN CRITICALLY ILL PATIENTS,"Sikachi, Rutuja1,,2; Aronowitz, Danielle3; Wu, Wenchen4; Smith, Candace5; Barrera, Rafael6
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/869__vancomycin_troughs_can_predict_auc_mic_ratios.830.aspx,"1New Hyde Park, Ny
2Zucker School of Medicine at Hofstra/Northwell, New Hyde Park, NY
3Donald and Barbara Zucker School of Medicine
4St. John’s University, Queens, NY
5St. John’s University, Jamaica, NY
6New York, NY"
870: VANCOMYCIN AREA UNDER THE CURVE ATTAINMENT IN CRITICALLY ILL OVERWEIGHT AND OBESE PATIENTS,"Krueger, Chelsea1; Ku, Amy1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/870__vancomycin_area_under_the_curve_attainment_in.831.aspx,"1Dallas VA Medical Center, Dallas, TX"
871: IMPACT OF PHARMACIST-DRIVEN AUC-BASED VERSUS TROUGH-BASED VANCOMYCIN MONITORING ON THERAPEUTIC GOALS,"Willmon, Julie1; Pyles, Eric2; Thomas, Caitlin2; Subedi, Bibidh2; Clark, Kacie3; Bokun, Alex2; Rowe, Abbi4; Lynch, Patricia Louzon1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/871__impact_of_pharmacist_driven_auc_based_versus.832.aspx,"1Orlando, FL
2Florida Hospital Orlando, Orlando, FL
3Sarasota, FL
4AdventHealth Orlando, Orlando, FL"
872: CHARACTERIZATION OF ISAVUCONAZOLE SERUM CONCENTRATIONS IN CRITICALLY ILL ADULTS,"Kram, Bridgette1; Spivey, Justin1; Liu, Beiyu1; Wrenn, Rebekah1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/872__characterization_of_isavuconazole_serum.833.aspx,"1Duke University Hospital, Durham, NC"
873: SUBTHERAPEUTIC DAPTOMYCIN SERUM LEVELS WITH VENOVENOUS EXTRACORPOREAL MEMBRANE OXYGENATION,"Kim, Sally1; Heaney, Maria2; Nikolos, Peter3; Mohrien, Kerry4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/873__subtherapeutic_daptomycin_serum_levels_with.834.aspx,"1Kingsbrook Jewish Medical Center, Brooklyn, NY
2St. Joseph’s University Medical Center, Paterson, NJ
3Arnold and Marie Schwartz College of Pharmacy and Health Sciences, LIU Pharmacy, Brooklyn, NY
4Temple University Hospital, Philadelphia, PA"
874: A COMPARISON OF DIAZEPAM AND LORAZEPAM IN THE GOAL-DIRECTED MANAGEMENT OF SEVERE ALCOHOL WITHDRAWAL,"Hodge, Emily1; Zavgorodnyaya, Daria2; Brown, Lawrence3; Whitmore, Mike3; Daley, Mitchell4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/874__a_comparison_of_diazepam_and_lorazepam_in_the.835.aspx,"1Seton Healthcare Family, Austin, TX
2The University of Texas MD Anderson Cancer Center, Houston, TX
3Dell Seton Medical Center at the University of Texas, Austin, TX
4Austin, TX"
875: IMPACT OF EARLY INITIATION OF HOME NEUROPSYCHIATRIC MEDICATIONS ON AGITATION AND DELIRIUM IN THE ICU,"Cucci, Michaelia1; Shimer, Tim1; Mofleh, Dania1; Cunningham, Brittany1; Patel, Jaimini1; Mullen, Chanda1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/875__impact_of_early_initiation_of_home.836.aspx,"1Cleveland Clinic Akron General, Akron, OH"
876: DOES REDUCING BENZODIAZEPINE ADMINISTRATION IMPACT DELIRIUM INCIDENCE?,"Franz, Nicholas1; Miller, James2; Alaniz, Cesar3; Farina, Nicholas4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/876__does_reducing_benzodiazepine_administration.837.aspx,"1University of Michigan, Department of Pharmacy Services, Ann Arbor, MI
2University of Michigan Health System, Ann Arbor, MI
3University of Michigan, Ann Arbor, MI
4Ann Arbor, MI"
877: WEIGHT-BASED ANALGOSEDATION WITH OPIOID INFUSIONS AS A PREDICTOR OF OUTPATIENT OPIOID USE,"Yeary, Julianne1; Owen, Emily2; Robbins, Blake3; Pauley, Nicholas3; Keeperman, Jacob4; Schwarz, Evan5
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/877__weight_based_analgosedation_with_opioid.838.aspx,"1Barnes Jewish Hospital, Saint Louis, MO
2Barnes-Jewish Hospital, St. Louis, MO
3St. Louis College of Pharmacy, St. Louis, MO
4Washington University in St Louis School of Medicine, Saint Louis, MO
5Washington University in Saint Louis School of Medicine, Saint Louis, MO"
878: ENTERAL PHENOBARBITAL FOR REFRACTORY AGITATED DELIRIUM IN THE INTENSIVE CARE UNIT,"Keith, Philip1; Wells, Adam1; Hodges, Jeremy2; Sands, Karen3; Tatum, Evan3; Exline, Tia4; Koelling, Alison1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/878__enteral_phenobarbital_for_refractory_agitated.839.aspx,"1Winston Salem, NC
2Novant Health Forsyth Medical Center, Winston Salem, NC
3Novant Health, Winston Salem, NC
4N/A"
879: VALIDATION OF AN IATROGENIC WITHDRAWAL ASSESSMENT TOOL FOR THE INTENSIVE CARE UNIT,"Bouajram, Rima1; Baumgartner, Laura2; Bhatt, Krupa3; Thompson, Ashley4; Jia, Shawn5; Ramsay, James6; Puntillo, Kathleen7
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/879__validation_of_an_iatrogenic_withdrawal.840.aspx,"1UCSF Medical Center, San Francisco, CA
2Touro University California, Vallejo, CA
3Scripps Memorial Hospital, La Jolla, CA
4University of California, San Francisco Medical Center, San Francisco, CA
5University of North Carolina, Chapel Hill Medical Center, Chapel Hill, NC
6Emory University School of Medicine, Atlanta, GA
7University of California San Francisco, Napa, CA"
880: RETROSPECTIVE EVALUATION OF HIGH- VERSUS LOW-DOSE DEXMEDETOMIDINE FOR SEDATION IN THE CRITICALLY ILL,"Dixit, Deepali1; Russer, Elizabeth2; Royal, Sandia2; Caballero, Ester2; Guzman, Adelle2; Vaidya, Shivani3; Bhavsar, Nisha3; Shah, Megha4; Rodricks, Michael5; Adams, Christopher6
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/880__retrospective_evaluation_of_high__versus.841.aspx,"1Ernest Mario School of Pharmacy, Piscataway, NJ
2Robert Wood Johnson University Hospital, New Brunswick, NJ
3Rutgers University, Piscataway, NJ
4Ernest Mario School of Pharmacy, Rutgers, The State University of New Jersey, Piscataway, NJ
5Robert Wood Johnson University Hospital Somerset, Somerville, NJ
6Rutgers Ernest Mario School of Pharmacy, Piscataway, NJ"
881: EFFECTS OF PREHOSPITAL KETAMINE ON HOSPITAL LENGTH OF STAY AND MECHANICAL VENTILATION DAYS,"Groover, Kelly1; Fiorenza, Mallory2; Hamel, Michael3; Johnson, Colin3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/881__effects_of_prehospital_ketamine_on_hospital.842.aspx,"1Lee Memorial Hospital, Fort Myers, Florida
2Fort Myers, FL
3Lee County Department of Public Safety, Fort Myers, FL"
